Cymbeline;['1538', '65', 'Shakespeare, William', 'Cymbeline', 'NA', 'en', 'TRUE']
Essays on Paul Bourget;['3173', '53', 'Twain, Mark', 'Essays on Paul Bourget', 'NA', 'en', 'TRUE']
Mark Twain's Letters — Complete (1853-1910);"['3199', '53', 'Twain, Mark', ""Mark Twain's Letters — Complete (1853-1910)"", 'Bestsellers, American, 1895-1923', 'en', 'TRUE']"
Tom Sawyer, Detective;['93', '53', 'Twain, Mark', 'Tom Sawyer, Detective', 'NA', 'en', 'TRUE']
Youth;['31547', '35316', 'Asimov, Isaac', 'Youth', 'Science Fiction', 'en', 'TRUE']
Moon-Face, and Other Stories;['1089', '120', 'London, Jack', 'Moon-Face, and Other Stories', 'NA', 'en', 'TRUE']
The Happy Prince and Other Tales;['30120', '111', 'Wilde, Oscar', 'The Happy Prince and Other Tales', 'NA', 'en', 'TRUE']
The Taming of the Shrew;['1508', '65', 'Shakespeare, William', 'The Taming of the Shrew', 'NA', 'en', 'TRUE']
Henry VIII;['2258', '65', 'Shakespeare, William', 'Henry VIII', 'NA', 'en', 'TRUE']
Under the Lilacs;"['3795', '102', 'Alcott, Louisa May', 'Under the Lilacs', ""Children's Literature"", 'en', 'TRUE']"
Ghosts;"['8121', '861', 'Ibsen, Henrik', 'Ghosts', ""Banned Books from Anne Haight's list"", 'en', 'TRUE']"
Mark Twain's Burlesque Autobiography;"['3175', '53', 'Twain, Mark', ""Mark Twain's Burlesque Autobiography"", 'NA', 'en', 'TRUE']"
Holiday Romance;"['809', '37', 'Dickens, Charles', 'Holiday Romance', ""Children's Picture Books"", 'en', 'TRUE']"
Moods;['28203', '102', 'Alcott, Louisa May', 'Moods', 'NA', 'en', 'TRUE']
The Troll Garden, and Selected Stories;['346', '22', 'Cather, Willa', 'The Troll Garden, and Selected Stories', 'NA', 'en', 'TRUE']
The Red One;['788', '120', 'London, Jack', 'The Red One', 'NA', 'en', 'TRUE']
On Picket Duty, and Other Tales;['4960', '102', 'Alcott, Louisa May', 'On Picket Duty, and Other Tales', 'NA', 'en', 'TRUE']
An Essay Upon Projects;['4087', '204', 'Defoe, Daniel', 'An Essay Upon Projects', 'NA', 'en', 'TRUE']
The Winter's Tale;"['1539', '65', 'Shakespeare, William', ""The Winter's Tale"", 'NA', 'en', 'TRUE']"
The Descent of Man and Other Stories;['4519', '104', 'Wharton, Edith', 'The Descent of Man and Other Stories', 'NA', 'en', 'TRUE']
Bayou Folk;['46650', '100', 'Chopin, Kate', 'Bayou Folk', 'NA', 'en', 'TRUE']
De Profundis;['921', '111', 'Wilde, Oscar', 'De Profundis', 'NA', 'en', 'TRUE']
Little Women;"['514', '102', 'Alcott, Louisa May', 'Little Women', ""Children's Literature"", 'en', 'TRUE']"
The Fruit of the Tree;['19191', '104', 'Wharton, Edith', 'The Fruit of the Tree', 'NA', 'en', 'TRUE']
The Vikings of Helgeland: The Prose Dramas Of Henrik Ibsen, Vol. III.;['19205', '861', 'Ibsen, Henrik', 'The Vikings of Helgeland: The Prose Dramas Of Henrik Ibsen, Vol. III.', 'NA', 'en', 'TRUE']
Following the Equator: A Journey Around the World. Part 7;['5814', '53', 'Twain, Mark', 'Following the Equator: A Journey Around the World. Part 7', 'NA', 'en', 'TRUE']
Tour through the Eastern Counties of England, 1722;['983', '204', 'Defoe, Daniel', 'Tour through the Eastern Counties of England, 1722', 'United Kingdom', 'en', 'TRUE']
History of King Henry the Sixth, Second Part;['1501', '65', 'Shakespeare, William', 'History of King Henry the Sixth, Second Part', 'NA', 'en', 'TRUE']
Editorial Wild Oats;['19484', '53', 'Twain, Mark', 'Editorial Wild Oats', 'NA', 'en', 'TRUE']
Little Eyolf;['7942', '861', 'Ibsen, Henrik', 'Little Eyolf', 'NA', 'en', 'TRUE']
Tom Tiddler's Ground;"['1413', '37', 'Dickens, Charles', ""Tom Tiddler's Ground"", 'NA', 'en', 'TRUE']"
The Life, Adventures & Piracies of the Famous Captain Singleton;['6422', '204', 'Defoe, Daniel', 'The Life, Adventures & Piracies of the Famous Captain Singleton', 'Pirates, Buccaneers, Corsairs, etc./Crime Nonfiction', 'en', 'TRUE']
Richard II;"['2250', '65', 'Shakespeare, William', 'Richard II', ""Banned Books from Anne Haight's list"", 'en', 'TRUE']"
Twelfth Night;['2247', '65', 'Shakespeare, William', 'Twelfth Night', 'NA', 'en', 'TRUE']
John Barleycorn;['318', '120', 'London, Jack', 'John Barleycorn', 'NA', 'en', 'TRUE']
Much Ado about Nothing;['1519', '65', 'Shakespeare, William', 'Much Ado about Nothing', 'NA', 'en', 'TRUE']
Tales of the Fish Patrol;['911', '120', 'London, Jack', 'Tales of the Fish Patrol', 'NA', 'en', 'TRUE']
Three Ghost Stories;['1289', '37', 'Dickens, Charles', 'Three Ghost Stories', 'NA', 'en', 'TRUE']
The Adventures of Huckleberry Finn (Tom Sawyer's Comrade);"['32325', '53', 'Twain, Mark', ""The Adventures of Huckleberry Finn (Tom Sawyer's Comrade)"", 'NA', 'en', 'TRUE']"
The Glimpses of the Moon;['1263', '104', 'Wharton, Edith', 'The Glimpses of the Moon', 'NA', 'en', 'TRUE']
Tales of Men and Ghosts;['4514', '104', 'Wharton, Edith', 'Tales of Men and Ghosts', 'NA', 'en', 'TRUE']
Jacob's Room;"['5670', '89', 'Woolf, Virginia', ""Jacob's Room"", 'NA', 'en', 'TRUE']"
How Lisa Loved the King;['20813', '90', 'Eliot, George', 'How Lisa Loved the King', 'NA', 'en', 'TRUE']
Kitty's Class Day and Other Stories;"['10360', '102', 'Alcott, Louisa May', ""Kitty's Class Day and Other Stories"", ""Children's Literature"", 'en', 'TRUE']"
Notes to the Complete Poetical Works of Percy Bysshe Shelley;['4695', '61', 'Shelley, Mary Wollstonecraft', 'Notes to the Complete Poetical Works of Percy Bysshe Shelley', 'NA', 'en', 'TRUE']
Roughing It;['3177', '53', 'Twain, Mark', 'Roughing It', 'Travel', 'en', 'TRUE']
The God of His Fathers: Tales of the Klondyke;['1655', '120', 'London, Jack', 'The God of His Fathers: Tales of the Klondyke', 'NA', 'en', 'TRUE']
Poems, with The Ballad of Reading Gaol;['1057', '111', 'Wilde, Oscar', 'Poems, with The Ballad of Reading Gaol', 'NA', 'en', 'TRUE']
The History of the Devil, As Well Ancient as Modern: In Two Parts;"['31053', '204', 'Defoe, Daniel', 'The History of the Devil, As Well Ancient as Modern: In Two Parts', ""Banned Books from Anne Haight's list"", 'en', 'TRUE']"
The Poems and Verses of Charles Dickens;['35536', '37', 'Dickens, Charles', 'The Poems and Verses of Charles Dickens', 'NA', 'en', 'TRUE']
John Gabriel Borkman;['18792', '861', 'Ibsen, Henrik', 'John Gabriel Borkman', 'NA', 'en', 'TRUE']
